模型,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
distilled,T,0.3,end,0,0.5741758241758241,0.5552719688196169,0.5772954674323252,0.6235530376434326,0.5843012296639871,0.29984859072909387,0.002678779408339157,0.057069648264616815
distilled,A,0.3,start,0,0.6414835164835165,0.6263125167786353,0.642934428056746,0.5824397802352905,0.6411923138962937,0.0,0.3017120894479385,0.057069648264616815
distilled,A,0.3,middle,0,0.6387362637362637,0.6230715091967416,0.6403532915545481,0.5833096504211426,0.6401373321120236,0.0,0.3017120894479385,0.057069648264616815
distilled,A,0.3,end,0,0.6401098901098901,0.6238999988970773,0.6417870603013505,0.5829496383666992,0.6404069140273801,0.0,0.3018285581178663,0.057069648264616815
distilled,V,0.3,start,0,0.6414835164835165,0.6281760037529344,0.6456326245050543,0.5771981477737427,0.6467873832542343,0.0,0.002678779408339157,0.3413114372233869
distilled,V,0.3,middle,0,0.6401098901098901,0.6273747934345725,0.6444664356117588,0.5772852301597595,0.6464279142337434,0.0,0.002678779408339157,0.34067085953878407
distilled,V,0.3,end,0,0.6401098901098901,0.627623804770204,0.6438348138097966,0.5782643556594849,0.644511739489334,0.0,0.002678779408339157,0.33758443978569763
distilled,AV,0.3,start,0,0.6483516483516484,0.6366630253960587,0.6519994985342744,0.5795708298683167,0.641494801735219,0.0,0.3017120894479385,0.3413114372233869
distilled,AV,0.3,middle,0,0.6414835164835165,0.6288302791906734,0.6450856179429301,0.5815432071685791,0.6419888742315579,0.0,0.3017120894479385,0.34067085953878407
distilled,AV,0.3,end,0,0.6442307692307693,0.6315647257617937,0.6485118242528988,0.5783824920654297,0.6453151607044578,0.0,0.3018285581178663,0.33758443978569763
